epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,339.945,0.52025,0.72402,0.83158,0.72515,0.84483,0.88978,0.78485,0.51936,0.84477,0.83965,0.000387169,0.000387169,0.000387169
140,342.377,0.65338,0.88642,0.92602,0.72728,0.84373,0.90775,0.81596,0.52354,0.82286,0.8397,0.000385713,0.000385713,0.000385713
141,344.855,0.51005,0.72898,0.85933,0.72728,0.84373,0.90775,0.81596,0.52354,0.82286,0.8397,0.000384258,0.000384258,0.000384258
142,347.256,0.60014,0.80733,0.89017,0.71977,0.842,0.86621,0.77912,0.52984,0.86698,0.8367,0.000382803,0.000382803,0.000382803
143,349.691,0.54811,0.74798,0.87092,0.71977,0.842,0.86621,0.77912,0.52984,0.86698,0.8367,0.000381347,0.000381347,0.000381347
144,352.13,0.55964,0.81691,0.84107,0.72908,0.84049,0.85556,0.76642,0.55129,0.90721,0.83714,0.000379892,0.000379892,0.000379892
145,354.545,0.53791,0.74917,0.83108,0.72908,0.84049,0.85556,0.76642,0.55129,0.90721,0.83714,0.000378437,0.000378437,0.000378437
146,356.994,0.46564,0.78313,0.82678,0.74944,0.83858,0.85794,0.76809,0.54021,0.90793,0.83803,0.000376981,0.000376981,0.000376981
147,359.416,0.5199,0.76943,0.81385,0.74944,0.83858,0.85794,0.76809,0.54021,0.90793,0.83803,0.000375526,0.000375526,0.000375526
148,361.905,0.50274,0.74041,0.84165,0.75496,0.83905,0.86489,0.79105,0.51239,0.87383,0.83265,0.000374071,0.000374071,0.000374071
149,364.199,0.50783,0.78168,0.83485,0.75496,0.83905,0.86489,0.79105,0.51239,0.87383,0.83265,0.000372616,0.000372616,0.000372616
150,366.636,0.52364,0.81903,0.84758,0.76381,0.83992,0.87212,0.79127,0.475,0.84704,0.8245,0.00037116,0.00037116,0.00037116
151,368.969,0.5461,0.70631,0.86953,0.76381,0.83992,0.87212,0.79127,0.475,0.84704,0.8245,0.000369705,0.000369705,0.000369705
152,371.411,0.557,0.78222,0.86106,0.79864,0.84069,0.87638,0.79713,0.459,0.82716,0.82017,0.00036825,0.00036825,0.00036825
153,373.744,0.55333,0.76943,0.853,0.79864,0.84069,0.87638,0.79713,0.459,0.82716,0.82017,0.000366794,0.000366794,0.000366794
154,376.147,0.55666,0.73036,0.86086,0.81233,0.84378,0.87638,0.80038,0.45467,0.80828,0.8194,0.000365339,0.000365339,0.000365339
155,378.702,0.51043,0.7109,0.81646,0.81233,0.84378,0.87638,0.80038,0.45467,0.80828,0.8194,0.000363884,0.000363884,0.000363884
