epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,298.038,0.72525,0.84791,0.84705,0.96023,1,0.995,0.81111,0.62964,0.70591,0.85013,0.000546427,0.000546427,0.000546427
141,300.104,0.76384,1.03714,0.86278,0.96023,1,0.995,0.81111,0.62964,0.70591,0.85013,0.000544365,0.000544365,0.000544365
142,302.183,0.62332,0.78116,0.86925,0.9614,1,0.995,0.84845,0.64418,0.68453,0.84847,0.000542304,0.000542304,0.000542304
143,304.231,0.64292,0.78234,0.90573,0.9614,1,0.995,0.84845,0.64418,0.68453,0.84847,0.000540242,0.000540242,0.000540242
144,306.373,0.76412,0.85309,0.85767,0.96608,1,0.995,0.86645,0.60261,0.68542,0.84086,0.00053818,0.00053818,0.00053818
145,308.516,0.6174,0.84645,0.88793,0.96608,1,0.995,0.86645,0.60261,0.68542,0.84086,0.000536119,0.000536119,0.000536119
146,310.675,0.59165,0.73348,0.84662,0.96869,1,0.995,0.89956,0.57059,0.65144,0.8426,0.000534057,0.000534057,0.000534057
147,312.772,0.6328,0.78731,0.91384,0.96869,1,0.995,0.89956,0.57059,0.65144,0.8426,0.000531995,0.000531995,0.000531995
148,314.911,0.6212,0.79207,0.86879,0.96989,1,0.995,0.87055,0.52981,0.65232,0.8445,0.000529934,0.000529934,0.000529934
149,316.999,0.70326,0.84949,0.82237,0.96989,1,0.995,0.87055,0.52981,0.65232,0.8445,0.000527872,0.000527872,0.000527872
150,319.151,0.61862,0.80657,0.8497,0.94134,0.98418,0.995,0.85818,0.54159,0.70139,0.84395,0.00052581,0.00052581,0.00052581
151,321.347,0.61254,0.86893,0.84774,0.94134,0.98418,0.995,0.85818,0.54159,0.70139,0.84395,0.000523749,0.000523749,0.000523749
152,323.526,0.65351,0.99011,0.86399,0.93503,0.95673,0.995,0.84989,0.54075,0.71361,0.84584,0.000521687,0.000521687,0.000521687
153,325.577,0.64723,0.88523,0.89051,0.93503,0.95673,0.995,0.84989,0.54075,0.71361,0.84584,0.000519625,0.000519625,0.000519625
154,327.747,0.65832,0.80132,0.86367,0.92568,0.96831,0.995,0.84572,0.57468,0.681,0.8548,0.000517564,0.000517564,0.000517564
155,329.857,0.56692,0.91566,0.89147,0.92568,0.96831,0.995,0.84572,0.57468,0.681,0.8548,0.000515502,0.000515502,0.000515502
156,332.005,0.66953,0.73649,0.87529,0.93583,0.98963,0.995,0.86641,0.56558,0.64684,0.85282,0.00051344,0.00051344,0.00051344
157,334.248,0.66947,0.86658,0.83371,0.93583,0.98963,0.995,0.86641,0.56558,0.64684,0.85282,0.000511379,0.000511379,0.000511379
158,336.387,0.64988,0.84977,0.86359,0.93464,0.97505,0.995,0.86641,0.53274,0.65117,0.85099,0.000509317,0.000509317,0.000509317
159,338.514,0.59029,0.87151,0.91962,0.93464,0.97505,0.995,0.86641,0.53274,0.65117,0.85099,0.000507255,0.000507255,0.000507255
160,340.672,0.70584,1.1002,0.91134,0.94243,0.95404,0.995,0.89125,0.52712,0.64725,0.84023,0.000505194,0.000505194,0.000505194
161,342.788,0.56582,0.8774,0.85798,0.94243,0.95404,0.995,0.89125,0.52712,0.64725,0.84023,0.000503132,0.000503132,0.000503132
162,344.964,0.57829,0.78608,0.88344,0.92083,0.983,0.995,0.87468,0.53782,0.64742,0.83552,0.00050107,0.00050107,0.00050107
163,347.082,0.60484,0.68888,0.92843,0.92083,0.983,0.995,0.87468,0.53782,0.64742,0.83552,0.000499009,0.000499009,0.000499009
164,349.221,0.57557,0.86732,0.84027,0.95811,1,0.995,0.88306,0.5118,0.61751,0.8391,0.000496947,0.000496947,0.000496947
165,351.248,0.59622,0.899,0.84381,0.95811,1,0.995,0.88306,0.5118,0.61751,0.8391,0.000494885,0.000494885,0.000494885
166,353.319,0.7276,0.83432,0.81372,0.97186,1,0.995,0.89968,0.50856,0.67197,0.84088,0.000492824,0.000492824,0.000492824
167,355.389,0.60688,0.76271,0.8194,0.97186,1,0.995,0.89968,0.50856,0.67197,0.84088,0.000490762,0.000490762,0.000490762
168,357.551,0.56417,0.7368,0.84905,0.97332,1,0.995,0.9121,0.48663,0.72359,0.84119,0.0004887,0.0004887,0.0004887
169,359.658,0.57201,0.8419,0.91531,0.97332,1,0.995,0.9121,0.48663,0.72359,0.84119,0.000486639,0.000486639,0.000486639
170,361.902,0.65647,0.91713,0.86721,0.97498,1,0.995,0.92037,0.45676,0.67583,0.83705,0.000484577,0.000484577,0.000484577
171,364.096,0.62249,0.95707,0.85353,0.97498,1,0.995,0.92037,0.45676,0.67583,0.83705,0.000482515,0.000482515,0.000482515
172,366.295,0.5503,0.7211,0.88491,0.97582,1,0.995,0.95357,0.42632,0.67428,0.83339,0.000480454,0.000480454,0.000480454
173,368.426,0.68357,0.82497,0.82429,0.97582,1,0.995,0.95357,0.42632,0.67428,0.83339,0.000478392,0.000478392,0.000478392
174,370.693,0.62732,0.70073,0.88225,0.9763,1,0.995,0.93276,0.44771,0.72454,0.82992,0.00047633,0.00047633,0.00047633
175,372.863,0.6851,0.73873,0.86474,0.9763,1,0.995,0.93276,0.44771,0.72454,0.82992,0.000474269,0.000474269,0.000474269
176,375.044,0.64631,0.83449,0.84697,0.97288,1,0.995,0.92447,0.46516,0.70017,0.82367,0.000472207,0.000472207,0.000472207
177,377.137,0.53354,0.86676,0.828,0.97288,1,0.995,0.92447,0.46516,0.70017,0.82367,0.000470145,0.000470145,0.000470145
178,379.261,0.61622,1.06042,0.87699,0.9734,1,0.995,0.93691,0.43404,0.65079,0.81685,0.000468084,0.000468084,0.000468084
179,381.319,0.6039,0.74222,0.89151,0.9734,1,0.995,0.93691,0.43404,0.65079,0.81685,0.000466022,0.000466022,0.000466022
180,383.495,0.61124,0.88219,0.83068,0.97122,1,0.995,0.92035,0.45799,0.67246,0.81969,0.00046396,0.00046396,0.00046396
181,385.644,0.55037,0.65905,0.90382,0.97122,1,0.995,0.92035,0.45799,0.67246,0.81969,0.000461898,0.000461898,0.000461898
